,s,s_ei,s_e1,s_g0,s_g5,s_d5,s_d2
26,22.542453000000002,8.993415,4.338857,13.572159000000001,13.562825,70.65670200000001,28.832981000000004
27,18.484856,13.435915000000001,3.8609579999999997,15.272852,12.728981000000001,51.77984,13.052546000000001
28,16.135782000000003,9.679841999999999,3.432474,16.130371,13.78194,53.558394,22.075786
29,8.554355,5.527548,6.179976,12.003352,5.224454,49.240856,18.59094
30,7.4620690000000005,3.704981,19.332481,8.809128,11.104182,67.118184,10.692407
31,5.958455,4.155882,7.0149610000000004,14.433069000000001,9.736675,60.431904,15.518304999999998
32,6.398658999999999,6.713386000000001,7.11697,8.138779999999999,8.558706,58.65867,21.302012
33,5.166728,6.139829,7.708981,12.250596,9.696018,62.368321,9.897968
34,5.0610990000000005,5.514069,4.9995709999999995,17.789883,13.276727999999999,57.049607,12.505044000000002
35,6.716196000000001,5.305346,3.1110059999999997,13.275493999999998,6.087826,51.303736,9.457639
36,6.330781000000001,17.413865,3.5937490000000003,8.110965,6.993196,41.825998,12.934867
37,4.757111,14.994712,3.9759740000000003,11.294081,5.459171,46.220067,17.568322
38,7.014575000000001,9.5779,5.490861,19.003886,11.179034,63.688862,21.06607
39,4.812626,4.415322,4.346742,11.30985,4.6274809999999995,56.286552,19.819041000000002
40,4.742369,14.266006,3.0127669999999998,11.487067,7.0304,40.108129,19.328811
41,4.901897,25.599485,9.935613,12.060563,11.542006,23.588383,13.749502
42,4.143543,4.7252160000000005,3.7535510000000003,11.118164,10.778209,39.746112,17.850020999999998
43,4.019158,17.788456999999998,4.603517,9.144578000000001,10.786719999999999,49.125409,25.961353999999996
44,3.586061,8.088750000000001,2.951249,11.533195000000001,3.961418,26.713276000000004,34.257052
45,2.780414,3.1115369999999998,2.12418,5.574031,7.291825,14.089013,18.034291
46,3.5530239999999997,23.073695999999998,6.741047,12.148934,6.7441249999999995,32.869422,16.136375
47,2.4839529999999996,5.3102860000000005,5.0617339999999995,11.712125,4.009419,31.027337,15.166991
48,2.559124,28.653777,4.253679,9.53745,10.962990999999999,23.784938,13.20579
49,2.236799,9.485999,8.551577,9.949016,7.406783,15.248138,20.948062
50,2.616299,4.73658,2.2681329999999997,10.765908,8.390911,11.130632,19.733370999999998
51,3.9476450000000005,16.488455,1.779946,12.354081,8.959461000000001,7.005863,23.492931
52,2.900228,8.05008,6.7657300000000005,9.488126,7.576058,5.429152,17.093025
53,2.392976,14.971192,7.158209,11.690992,10.361657000000001,9.895392,11.646136
54,2.3688730000000002,24.314962,6.1478720000000004,12.416016,9.722862000000001,7.429993,11.165229
55,2.565282,6.651516,3.21972,6.507517999999999,7.56929,8.43428,21.944103000000002
56,3.1797770000000005,11.739099,13.885583,9.059325,11.407802,6.738321,20.940006999999998
57,2.4461340000000003,8.707485,5.5321679999999995,11.069565,8.615648,6.560561,13.312639
58,2.232573,9.038675999999999,5.966406,7.866339,8.169138,5.773153000000001,14.216274
59,1.781507,22.105541000000002,6.526762999999999,6.240623,11.165471,3.423997,8.924339
60,2.1707330000000002,18.686313,3.015172,15.707528000000002,9.948183,3.2230809999999996,13.475012999999999
61,2.071426,6.816073,9.446631,12.371155,10.185213,3.8295549999999996,11.452776
62,2.3160279999999998,1.817811,4.258463,11.285661,5.931602,3.878081,14.653495999999999
63,2.266645,2.734678,10.294588000000001,11.249452999999999,7.474247,2.2962550000000004,10.117912
64,1.6261520000000003,8.374376,2.978099,8.10066,7.634225,1.9903110000000002,10.247504000000001
65,1.820954,4.587779,9.134037000000001,8.48748,7.238551,2.8973430000000002,11.244798
66,1.879078,7.33459,5.057878,8.672326,6.75342,2.395997,9.914185999999999
67,2.2231,2.4911160000000003,2.29715,11.163956,5.3290049999999995,1.6352909999999998,13.971156
68,2.184914,2.684635,8.012964,9.833794999999999,7.374491,2.048747,18.924615
69,2.046485,14.123724,8.978926,6.9820709999999995,13.040636,1.6077290000000002,16.268998
70,3.7850059999999996,3.186174,13.717307000000002,12.610121,6.0160480000000005,1.7144590000000002,14.231852
71,2.268705,9.401631,10.822889,8.104407,6.029298000000001,1.8822599999999998,14.72367
72,3.0840929999999998,2.6330869999999997,6.388897,8.362435999999999,7.243557000000001,1.852856,13.112591000000002
73,2.36599,5.023305000000001,9.182911,9.308295,7.274811000000001,1.921581,7.249372
74,2.340872,2.384838,4.555674,13.013164,9.594919,1.639269,12.518749000000001
75,2.068489,16.994827,4.188451,10.019184000000001,8.19964,1.373087,10.625352000000001
76,2.2871889999999997,18.833365,4.991443,11.062432,10.481351,1.61132,10.783229
